order_id,order_date,product_category,region,quarter,units_sold,customer_segment,unit_price,revenue
ORD-10001,2025-04-16,Beauty,West,Q2,17.0,Corporate,11.52,195.84
ORD-10002,2025-12-02,Clothing,South,Q4,12.0,Home Office,16.069999999999997,192.84
ORD-10003,2025-11-20,Electronics,South,Q4,1.0,Consumer,200.735,
ORD-10004,2025-11-01,Home & Kitchen,Southwest,Q4,19.0,Home Office,34.39,653.41
ORD-10005,2025-08-07,Home & Kitchen,Northwest,Q3,15.0,Consumer,47.11,706.65
ORD-10006,2025-08-25,Electronics,Mid-Atlantic,Q3,3.0,Consumer,125.05999999999999,375.18
ORD-10007,2025-12-08,Electronics,Northwest,Q4,13.0,Consumer,147.53,1917.89
ORD-10008,2025-01-17,Electronics,Mountain,Q1,11.0,Home Office,136.96,1506.56
ORD-10009,2025-09-24,Clothing,Mountain,Q3,8.0,Consumer,14.549999999999999,116.4
ORD-10010,2025-02-08,Home & Kitchen,South,Q1,3.0,Consumer,39.78,119.34
ORD-10011,2025-08-10,Clothing,West,Q3,19.0,Consumer,12.01,228.19
ORD-10012,2025-02-17,Clothing,Northwest,Q1,18.0,Consumer,11.96,215.28
ORD-10013,2025-03-23,Sports,Southeast,Q1,17.0,Home Office,26.95,458.15
ORD-10014,2025-04-28,Electronics,Midwest,Q2,3.0,Corporate,128.04,384.12
ORD-10015,2025-06-16,Home & Kitchen,West,Q2,12.0,Corporate,37.89,454.68
ORD-10016,2025-08-19,Books,Northeast,Q3,20.0,Home Office,7.07,141.4
ORD-10017,2025-01-01,Home & Kitchen,Midwest,Q1,1.0,Corporate,200.735,
ORD-10018,2025-08-19,Beauty,Mid-Atlantic,Q3,18.0,Home Office,11.34,204.12
ORD-10019,2025-01-19,Clothing,Midwest,Q1,16.0,Consumer,15.97,255.52
ORD-10020,2025-08-28,,Mid-Atlantic,Q3,10.0,Home Office,146.5,1465.0
ORD-10021,2025-09-06,Beauty,New England,Q3,13.0,Consumer,9.2,119.6
ORD-10022,2025-09-05,Beauty,Northeast,Q3,9.0,Corporate,11.66,104.94
ORD-10023,2025-11-10,Electronics,Southeast,Q4,1.0,Corporate,200.735,
ORD-10024,2025-04-10,Home & Kitchen,West,Q2,18.0,Consumer,46.39,835.02
ORD-10025,2025-10-28,Books,Mid-Atlantic,Q4,17.0,Consumer,7.07,120.19
ORD-10026,2025-05-04,Electronics,Mountain,Q2,17.0,Consumer,110.09,1871.53
ORD-10027,2025-08-08,Home & Kitchen,,Q3,4.0,Consumer,35.64,142.56
ORD-10028,2025-09-21,Home & Kitchen,Mid-Atlantic,Q3,20.0,Corporate,35.81,716.2
ORD-10029,2025-02-25,Sports,Southwest,Q1,17.0,Home Office,19.59,333.03
ORD-10030,2025-08-21,Sports,Northwest,Q3,12.0,Corporate,30.41,364.92
ORD-10031,2025-07-03,Beauty,Northeast,Q3,1.0,Corporate,200.735,
ORD-10032,2025-04-23,Clothing,Northeast,Q2,15.0,Consumer,10.63,159.45
ORD-10033,2025-01-17,Electronics,Mid-Atlantic,Q1,3.0,Consumer,115.46,346.38
ORD-10034,2025-03-12,Clothing,New England,Q1,14.0,Corporate,12.58,176.12
ORD-10035,2025-10-26,Beauty,Southeast,Q4,6.0,Home Office,9.33,55.98
ORD-10036,2025-07-18,Beauty,Mid-Atlantic,Q3,15.0,Home Office,11.92,178.8
ORD-10037,2025-02-15,Books,Southeast,Q1,2.0,Consumer,6.96,13.92
ORD-10038,2025-06-09,Home & Kitchen,Southwest,Q2,1.0,Corporate,36.3,36.3
ORD-10039,2025-07-31,Beauty,South,Q3,12.0,Corporate,14.5,174.0
ORD-10040,2025-10-09,Home & Kitchen,West,Q4,18.0,Corporate,39.21,705.78
ORD-10041,2025-02-04,Electronics,Southwest,Q1,15.0,Corporate,108.45,1626.75
ORD-10042,2025-06-20,Home & Kitchen,New England,Q2,15.0,Corporate,32.93,493.95
ORD-10043,2025-11-29,Home & Kitchen,West,Q4,8.0,Consumer,31.799999999999997,254.4
ORD-10044,2025-03-17,Books,Southeast,Q1,20.0,Home Office,8.86,177.2
ORD-10045,2025-03-04,Clothing,Southwest,Q1,7.0,Consumer,13.06,91.42
ORD-10046,2025-11-21,Books,Midwest,Q4,14.0,Consumer,6.31,88.34
ORD-10047,2025-08-17,Home & Kitchen,Mid-Atlantic,Q3,11.0,Home Office,32.9,361.9
ORD-10048,2025-05-31,,West,Q2,20.0,Consumer,155.24,3104.8
ORD-10049,2025-01-24,Electronics,Northwest,Q1,11.0,Consumer,104.94,1154.34
ORD-10050,2025-03-15,,Northeast,Q1,6.0,Consumer,148.64,891.84
ORD-10051,2025-05-28,Home & Kitchen,Mid-Atlantic,Q2,14.0,Corporate,38.41,537.74
ORD-10052,2025-12-03,Electronics,Midwest,Q4,18.0,Consumer,147.07,2647.26
ORD-10053,2025-04-30,Clothing,South,Q2,6.0,Consumer,12.51,75.06
ORD-10054,2025-10-29,Books,Midwest,Q4,8.0,Consumer,6.51,52.08
ORD-10055,2025-10-10,Beauty,Midwest,Q4,8.0,Home Office,10.5,84.0
ORD-10056,2025-05-09,Beauty,South,Q2,1.0,Consumer,8.91,8.91
ORD-10057,2025-02-24,Electronics,Mid-Atlantic,Q1,16.0,Corporate,138.27,2212.32
ORD-10058,2025-07-28,Home & Kitchen,South,Q3,2.0,Consumer,45.71,91.42
ORD-10059,2025-10-18,Clothing,South,Q4,13.0,Corporate,14.91,193.83
ORD-10060,2025-11-10,Sports,Northwest,Q4,3.0,Consumer,24.360000000000003,73.08
ORD-10061,2025-03-22,,West,Q1,19.0,Corporate,131.81,2504.39
ORD-10062,2025-09-13,Home & Kitchen,Midwest,Q3,16.0,Corporate,29.44,471.04
ORD-10063,2025-09-03,Home & Kitchen,Mid-Atlantic,Q3,8.0,Consumer,32.04,256.32
ORD-10064,2025-12-20,Home & Kitchen,Mid-Atlantic,Q4,10.0,Home Office,35.809999999999995,358.1
ORD-10065,2025-02-15,Sports,Midwest,Q1,4.0,Home Office,27.84,111.36
ORD-10066,2025-08-29,Electronics,Southwest,Q3,11.0,Consumer,135.51,1490.61
ORD-10067,2025-10-09,Clothing,Southeast,Q4,3.0,Corporate,10.9,32.7
ORD-10068,2025-05-15,Sports,,Q2,13.0,Corporate,26.19,340.47
ORD-10069,2025-08-29,Home & Kitchen,South,Q3,8.0,Consumer,43.19,345.52
ORD-10070,2025-01-28,Clothing,Southeast,Q1,6.0,Consumer,16.13,96.78
ORD-10071,2025-04-03,Electronics,Mid-Atlantic,Q2,5.0,Home Office,127.42,637.1
ORD-10072,2025-05-21,Beauty,Northeast,Q2,2.0,Corporate,9.02,18.04
ORD-10073,2025-10-08,Books,Southwest,Q4,16.0,Home Office,7.31,116.96
ORD-10074,2025-06-09,Home & Kitchen,Southwest,Q2,,Corporate,31.29,312.9
ORD-10075,2025-05-29,Sports,Midwest,Q2,1.0,Consumer,24.75,24.75
ORD-10076,2025-08-30,Home & Kitchen,New England,Q3,15.0,Consumer,41.21,618.15
ORD-10077,2025-02-27,Electronics,Northwest,Q1,3.0,Corporate,128.76999999999998,386.31
ORD-10078,2025-09-08,Electronics,Midwest,Q3,1.0,Corporate,140.59,140.59
ORD-10079,2025-10-12,Beauty,Southwest,Q4,7.0,Consumer,10.75,75.25
ORD-10080,2025-10-09,Home & Kitchen,West,Q4,14.0,Corporate,36.12,505.68
ORD-10081,2025-08-18,Sports,South,Q3,5.0,Home Office,30.12,150.6
ORD-10082,2025-09-21,Beauty,Southwest,Q3,1.0,Corporate,200.735,
ORD-10083,2025-01-17,Books,Northwest,Q1,1.0,Consumer,4.72,4.72
ORD-10084,2025-11-23,Home & Kitchen,Northeast,Q4,7.0,Consumer,38.339999999999996,268.38
ORD-10085,2025-02-13,Clothing,Mid-Atlantic,Q1,6.0,Home Office,12.08,72.48
ORD-10086,2025-11-01,Clothing,Mid-Atlantic,Q4,2.0,Home Office,14.07,28.14
ORD-10087,2025-05-05,Home & Kitchen,Southeast,Q2,20.0,Consumer,32.58,651.6
ORD-10088,2025-12-17,Sports,Northwest,Q4,8.0,Home Office,27.37,218.96
ORD-10089,2025-11-18,,Northeast,Q4,19.0,Consumer,150.41,2857.79
ORD-10090,2025-11-23,Books,Northeast,Q4,11.0,Consumer,5.39,59.29
ORD-10091,2025-01-16,Books,Northeast,Q1,11.0,Consumer,7.9799999999999995,87.78
ORD-10092,2025-06-24,Home & Kitchen,Southwest,Q2,18.0,Consumer,35.15,632.7
ORD-10093,2025-07-12,Clothing,Southwest,Q3,8.0,Home Office,13.69,109.52
ORD-10094,2025-12-27,Electronics,West,Q4,2.0,Corporate,116.11999999999999,232.24
ORD-10095,2025-01-08,Clothing,Northwest,Q1,13.0,Consumer,12.43,161.59
ORD-10096,2025-10-21,Electronics,Northwest,Q4,18.0,Home Office,151.52,2727.36
ORD-10097,2025-11-17,Home & Kitchen,Northeast,Q4,17.0,Home Office,35.22,598.74
ORD-10098,2025-04-08,Electronics,Northwest,Q2,16.0,Consumer,153.82,2461.12
ORD-10099,2025-10-28,Beauty,West,Q4,20.0,Corporate,10.15,203.0
ORD-10100,2025-09-18,Clothing,Mid-Atlantic,Q3,18.0,Corporate,12.73,229.14
ORD-10101,2025-04-10,Electronics,Midwest,Q2,5.0,Corporate,110.12,550.6
ORD-10102,2025-05-22,Home & Kitchen,Mid-Atlantic,Q2,5.0,Corporate,37.52,187.6
ORD-10103,2025-07-15,Books,Mountain,Q3,4.0,Consumer,7.25,29.0
ORD-10104,2025-10-04,Beauty,West,Q4,9.0,Consumer,8.92,80.28
ORD-10105,2025-06-29,Home & Kitchen,West,Q2,10.0,Home Office,40.81,408.1
ORD-10106,2025-09-17,Beauty,South,Q3,3.0,Home Office,13.85,41.55
ORD-10107,2025-08-31,Beauty,Mid-Atlantic,Q3,20.0,Consumer,11.89,237.8
ORD-10108,2025-10-04,Sports,Southwest,Q4,19.0,Consumer,24.4,463.6
ORD-10109,2025-02-10,Electronics,South,Q1,17.0,Home Office,166.39,2828.63
ORD-10110,2025-12-12,Sports,Midwest,Q4,19.0,Consumer,28.53,542.07
ORD-10111,2025-05-25,Clothing,Southwest,Q2,19.0,Consumer,12.98,246.62
ORD-10112,2025-04-28,Books,Southeast,Q2,13.0,Consumer,6.66,86.58
ORD-10113,2025-05-17,Clothing,Mid-Atlantic,Q2,3.0,Consumer,12.43,37.29
ORD-10114,2025-07-09,Books,Southwest,Q3,2.0,Consumer,6.36,12.72
ORD-10115,2025-10-02,Books,Northeast,Q4,17.0,Corporate,7.04,119.68
ORD-10116,2025-06-06,Electronics,New England,Q2,18.0,Consumer,142.15,2558.7
ORD-10117,2025-11-17,Books,Southeast,Q4,2.0,Home Office,5.91,11.82
ORD-10118,2025-03-10,Electronics,Southwest,Q1,4.0,Home Office,119.49,477.96
